date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:37	16889/16889	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2019:57:52%20GMT	https://w5.foxdsgn.com/whizz-html/index.html	C:/My%20Web%20Sites/code%20ca%20nhan%202/w5.foxdsgn.com/whizz-html/index.html	(from )
21:20:38	900/900	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Oct%202020%2014:20:35%20GMT	https://w5.foxdsgn.com/robots.txt		(from )
21:20:39	42419/42419	---M-Z	200	added ('OK')	text/css	etag:%22a5b3-581e211655980-gzip%22	https://w5.foxdsgn.com/whizz-html/assets/css/animsition.min.css	C:/My%20Web%20Sites/code%20ca%20nhan%202/w5.foxdsgn.com/whizz-html/assets/css/animsition.min.css	(from https://w5.foxdsgn.com/whizz-html/index.html)
21:20:40	7914/7914	---M-Z	200	added ('OK')	text/css	etag:%221eea-581e211655980-gzip%22	https://w5.foxdsgn.com/whizz-html/assets/css/jquery.flipster.min.css	C:/My%20Web%20Sites/code%20ca%20nhan%202/w5.foxdsgn.com/whizz-html/assets/css/jquery.flipster.min.css	(from https://w5.foxdsgn.com/whizz-html/index.html)
21:20:41	113502/113502	---M-Z	200	added ('OK')	text/css	etag:%221bb5e-581e211655980-gzip%22	https://w5.foxdsgn.com/whizz-html/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/code%20ca%20nhan%202/w5.foxdsgn.com/whizz-html/assets/css/bootstrap.min.css	(from https://w5.foxdsgn.com/whizz-html/index.html)
21:20:42	6418/6418	---M-Z	200	added ('OK')	text/css	etag:%221912-581e211655980-gzip%22	https://w5.foxdsgn.com/whizz-html/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/code%20ca%20nhan%202/w5.foxdsgn.com/whizz-html/assets/css/magnific-popup.min.css	(from https://w5.foxdsgn.com/whizz-html/index.html)
21:20:43	54048/54048	---M-Z	200	added ('OK')	text/css	etag:%22d320-581e211655980-gzip%22	https://w5.foxdsgn.com/whizz-html/assets/css/animate.min.css	C:/My%20Web%20Sites/code%20ca%20nhan%202/w5.foxdsgn.com/whizz-html/assets/css/animate.min.css	(from https://w5.foxdsgn.com/whizz-html/index.html)
21:20:44	262/262	---M-Z	200	added ('OK')	text/css	etag:%22106-581e211655980-gzip%22	https://w5.foxdsgn.com/whizz-html/assets/css/kenburning.min.css	C:/My%20Web%20Sites/code%20ca%20nhan%202/w5.foxdsgn.com/whizz-html/assets/css/kenburning.min.css	(from https://w5.foxdsgn.com/whizz-html/index.html)
21:20:45	31043/31043	---M-Z	200	added ('OK')	text/css	etag:%227943-581e211655980-gzip%22	https://w5.foxdsgn.com/whizz-html/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/code%20ca%20nhan%202/w5.foxdsgn.com/whizz-html/assets/css/font-awesome.min.css	(from https://w5.foxdsgn.com/whizz-html/index.html)
21:20:46	11150/11150	---MCZ	200	added ('OK')	text/css	etag:W/%222bb0-581e211655980-gzip%22	https://w5.foxdsgn.com/whizz-html/assets/css/pe-icon-7-stroke.css	C:/My%20Web%20Sites/code%20ca%20nhan%202/w5.foxdsgn.com/whizz-html/assets/css/pe-icon-7-stroke.css	(from https://w5.foxdsgn.com/whizz-html/index.html)
